,id,surface,pos,len
115,4212,['″'],"['名詞,サ変接続,*,*']",1
116,4220,['ず'],"['助動詞,*,*,*']",1
117,4233,['再'],"['接頭詞,名詞接続,*,*']",1
118,4237,['少'],"['形容詞,自立,*,*']",1
119,4264,['西'],"['名詞,一般,*,*']",1
120,4343,['息'],"['名詞,サ変接続,*,*']",1
121,4431,['∇'],"['名詞,サ変接続,*,*']",1
122,4465,['去'],"['動詞,自立,*,*']",1
123,4593,['湖'],"['名詞,一般,*,*']",1
124,4631,['分'],"['名詞,サ変接続,*,*']",1
125,4637,['さ'],"['助詞,終助詞,*,*']",1
126,4692,['こ'],"['名詞,一般,*,*']",1
127,4716,['收'],"['名詞,固有名詞,人名,名']",1
128,4758,['都'],"['名詞,一般,*,*']",1
129,4896,['器'],"['名詞,一般,*,*']",1
130,4985,['心'],"['名詞,一般,*,*']",1
131,5045,['株'],"['名詞,一般,*,*']",1
132,5048,['で'],"['接続詞,*,*,*']",1
133,5082,['男'],"['名詞,一般,*,*']",1
134,5102,['▁’'],"['名詞,サ変接続,*,*']",1
135,5225,['管'],"['名詞,一般,*,*']",1
136,5248,['校'],"['名詞,一般,*,*']",1
137,5282,['洲'],"['名詞,一般,*,*']",1
138,5299,['造'],"['名詞,一般,*,*']",1
139,5349,['編'],"['名詞,一般,*,*']",1
140,5429,['土'],"['名詞,一般,*,*']",1
141,5436,['根'],"['名詞,一般,*,*']",1
142,5440,['ま'],"['感動詞,*,*,*']",1
143,5477,['ユ'],"['名詞,固有名詞,組織,*']",1
144,5545,['取'],"['動詞,自立,*,*']",1
145,5601,['歌'],"['名詞,一般,*,*']",1
146,5634,['容'],"['名詞,一般,*,*']",1
147,5635,['九'],"['名詞,数,*,*']",1
148,5678,['之'],"['名詞,代名詞,一般,*']",1
149,5698,['台'],"['名詞,一般,*,*']",1
150,5722,['及'],"['名詞,固有名詞,組織,*']",1
151,5808,['技'],"['名詞,一般,*,*']",1
152,5847,['∀'],"['名詞,サ変接続,*,*']",1
153,5874,['駅'],"['名詞,一般,*,*']",1
154,5921,['要'],"['名詞,一般,*,*']",1
155,5923,"['▁', '×']","['名詞,サ変接続,*,*', '記号,一般,*,*']",2
156,5939,['γ'],"['記号,アルファベット,*,*']",1
157,5944,['Ω'],"['記号,アルファベット,*,*']",1
158,5954,['ご'],"['接頭詞,名詞接続,*,*']",1
159,5986,['足'],"['名詞,一般,*,*']",1
160,6015,['雄'],"['名詞,一般,*,*']",1
